,id,label_name,annotation,name
295,295,Common Eider (Adult male),Adult male,Common Eider
296,296,Long-tailed Duck (Winter male),Winter male,Long-tailed Duck
297,297,Ruddy Duck (Breeding male),Breeding male,Ruddy Duck
298,298,Swainson's Hawk (Dark morph ),Dark morph ,Swainson's Hawk
299,299,Red-tailed Hawk (Light morph adult),Light morph adult,Red-tailed Hawk
313,313,Snow Goose (White morph),White morph,Snow Goose
314,314,Wood Duck (Breeding male),Breeding male,Wood Duck
315,315,Gadwall (Breeding male),Breeding male,Gadwall
316,316,American Wigeon (Breeding male),Breeding male,American Wigeon
317,317,Mallard (Breeding male),Breeding male,Mallard
318,318,Blue-winged Teal  (Male),Male,Blue-winged Teal
319,319,Cinnamon Teal (Male),Male,Cinnamon Teal
320,320,Northern Shoveler (Breeding male),Breeding male,Northern Shoveler
321,321,Northern Pintail (Breeding male),Breeding male,Northern Pintail
322,322,Green-winged Teal (Male),Male,Green-winged Teal
323,323,Canvasback (Breeding male),Breeding male,Canvasback
324,324,Redhead (Breeding male),Breeding male,Redhead
325,325,Ring-necked Duck (Breeding male),Breeding male,Ring-necked Duck
326,326,Greater Scaup (Breeding male),Breeding male,Greater Scaup
327,327,Lesser Scaup (Breeding male),Breeding male,Lesser Scaup
328,328,Harlequin Duck (Male),Male,Harlequin Duck
329,329,Surf Scoter (Male),Male,Surf Scoter
330,330,White-winged Scoter (Male),Male,White-winged Scoter
331,331,Black Scoter (Male),Male,Black Scoter
332,332,Bufflehead (Breeding male),Breeding male,Bufflehead
333,333,Common Goldeneye (Breeding male),Breeding male,Common Goldeneye
334,334,Barrow's Goldeneye (Breeding male),Breeding male,Barrow's Goldeneye
335,335,Hooded Merganser (Breeding male),Breeding male,Hooded Merganser
336,336,Common Merganser (Breeding male),Breeding male,Common Merganser
337,337,Red-breasted Merganser (Breeding male),Breeding male,Red-breasted Merganser
338,338,California Quail (Male),Male,California Quail
339,339,Gambel's Quail (Male),Male,Gambel's Quail
340,340,Ring-necked Pheasant (Male),Male,Ring-necked Pheasant
341,341,Red-throated Loon (Breeding),Breeding,Red-throated Loon
342,342,Pacific Loon (Breeding),Breeding,Pacific Loon
343,343,Common Loon (Breeding),Breeding,Common Loon
344,344,Horned Grebe (Breeding),Breeding,Horned Grebe
345,345,Red-necked Grebe (Breeding),Breeding,Red-necked Grebe
346,346,Eared Grebe (Breeding),Breeding,Eared Grebe
347,347,"Northern Gannet (Adult, Subadult)","Adult, Subadult",Northern Gannet
348,348,Double-crested Cormorant (Immature),Immature,Double-crested Cormorant
349,349,Great Cormorant (Adult),Adult,Great Cormorant
350,350,Little Blue Heron (Adult),Adult,Little Blue Heron
351,351,Reddish Egret (Dark morph),Dark morph,Reddish Egret
352,352,Black-crowned Night-Heron (Adult),Adult,Black-crowned Night-Heron
353,353,Yellow-crowned Night-Heron (Adult),Adult,Yellow-crowned Night-Heron
354,354,White Ibis (Adult),Adult,White Ibis
355,355,"Bald Eagle (Adult, subadult)","Adult, subadult",Bald Eagle
356,356,Northern Harrier (Adult male),Adult male,Northern Harrier
357,357,Sharp-shinned Hawk (Adult ),Adult ,Sharp-shinned Hawk
